name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
@actions/core,1.11.1,False,True,redcode/redcode,@actions/core,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,8,0,8,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+core@1.11.1/node_modules/@actions/core,31260da2deef1b7c355ca422fb7fa47d8ebdb6a54626dc39708f77a614bbf880
@actions/exec,1.1.1,False,False,,,type-surface-resolved-in-at-least-one-context,,,1,1,3,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+exec@1.1.1/node_modules/@actions/exec,cc2a7e34c27d8dd399e7a84d4313bcd592f4f4f2fb1a94aef2ab7ef290117af3
@actions/github,6.0.1,False,True,redcode/redcode,@actions/github | @actions/github/lib/context,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,5,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+github@6.0.1/node_modules/@actions/github,0c766b1023a6418a66e232a10aa10dfbab1f29eeda6881def877965514e27589
@actions/http-client,2.2.3,False,False,,,type-surface-resolved-in-at-least-one-context,,,2,2,4,0,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+http-client@2.2.3/node_modules/@actions/http-client,fee44521c7b106db14a862c0628f8816c1ca77cb5aa72a7451b4f79c39c8a4cb
@actions/io,1.1.3,False,False,,,type-surface-resolved-in-at-least-one-context,,,1,1,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+io@1.1.3/node_modules/@actions/io,1669f1ba9a7fe5e9dfbd246ce5c1a03cbdbce5ee613705fc9f8e726fdbce894a
@adobe/css-tools,4.5.0,False,False,,,type-surface-resolved-in-at-least-one-context,,,1,1,3,9,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@adobe+css-tools@4.5.0/node_modules/@adobe/css-tools,4158ff15b539da0def8c2d5d3404b5939972937faaf9aa567903467e24baf233
@agentclientprotocol/sdk,0.21.0,False,True,redcode/redcode,@agentclientprotocol/sdk,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,10,0,10,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@agentclientprotocol+sdk@0.21.0+d6123d32214422cb/node_modules/@agentclientprotocol/sdk,27be9188a6d74f89f5715b8dfc48979b1c379a2968597cb12f92529781a13fe0
@ai-sdk/alibaba,1.0.17,False,True,redcode/lildax | redcode/redcode,@ai-sdk/alibaba,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,2,12,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+alibaba@1.0.17+d6123d32214422cb/node_modules/@ai-sdk/alibaba,84a228dbfc2a4feb1ce8052f09b7fe68a9524fef9a969115ef0ad76b5d25c76d
@ai-sdk/amazon-bedrock,4.0.153,False,False,,,type-surface-resolved-in-at-least-one-context,,,2,2,8,32,6,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+amazon-bedrock@4.0.153+d6123d32214422cb/node_modules/@ai-sdk/amazon-bedrock,6c115f7edc5949461759c41d9fb4eb4adeb56c1bbc37f3efdf3aeca56eec63dd
@ai-sdk/amazon-bedrock,4.0.166,False,True,redcode/lildax | redcode/redcode,@ai-sdk/amazon-bedrock/mantle | @ai-sdk/amazon-bedrock,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,8,32,6,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+amazon-bedrock@4.0.166+d6123d32214422cb/node_modules/@ai-sdk/amazon-bedrock,fd3615253f9f40b0f1777e968760f841bc801cf0d61aee2fb45114c209724508
