package,version,specifier,programs,file,line,kind,typeOnly,typing,typesPath,typescriptResolved,runtimeLanguage,runtimePath,localAmbientDeclarations,autoEligibilityApplies,automaticRefusal
which,6.0.1,which,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/util/which.ts,1,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+which@3.0.4/node_modules/@types/which/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+which@3.0.4/node_modules/@types/which/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/which@6.0.1/node_modules/which/lib/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
mime-types,3.0.2,mime-types,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/fs-util.ts,5,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+mime-types@3.0.1/node_modules/@types/mime-types/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+mime-types@3.0.1/node_modules/@types/mime-types/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/mime-types@3.0.2/node_modules/mime-types/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
cross-spawn,7.0.6,cross-spawn,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/cross-spawn-spawner.ts,26,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+cross-spawn@6.0.6/node_modules/@types/cross-spawn/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+cross-spawn@6.0.6/node_modules/@types/cross-spawn/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/cross-spawn@7.0.6/node_modules/cross-spawn/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
npm-package-arg,13.0.2,npm-package-arg,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/npm.ts,4,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+npm-package-arg@6.1.4/node_modules/@types/npm-package-arg/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+npm-package-arg@6.1.4/node_modules/@types/npm-package-arg/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/npm-package-arg@13.0.2/node_modules/npm-package-arg/lib/npa.js,,True,"its declared types come from a third-party @types package, not the package itself"
@npmcli/arborist,9.4.0,@npmcli/arborist,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/npm.ts,86,dynamic-import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+npmcli__arborist@6.3.3/node_modules/@types/npmcli__arborist/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+npmcli__arborist@6.3.3/node_modules/@types/npmcli__arborist/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+arborist@9.4.0+759ce506b1ed1a42/node_modules/@npmcli/arborist/lib/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
turndown,7.2.0,turndown,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/core/src/tool/webfetch.ts,7,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+turndown@5.0.5/node_modules/@types/turndown/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+turndown@5.0.5/node_modules/@types/turndown/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/turndown@7.2.0/node_modules/turndown/lib/turndown.cjs.js,,True,"its declared types come from a third-party @types package, not the package itself"
cross-spawn,7.0.6,cross-spawn,redcode/lildax | redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/sdk/js/src/v2/server.ts,1,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+cross-spawn@6.0.6/node_modules/@types/cross-spawn/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+cross-spawn@6.0.6/node_modules/@types/cross-spawn/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/cross-spawn@7.0.6/node_modules/cross-spawn/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
mime-types,3.0.2,mime-types,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/util/filesystem.ts,106,dynamic-import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+mime-types@3.0.1/node_modules/@types/mime-types/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+mime-types@3.0.1/node_modules/@types/mime-types/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/mime-types@3.0.2/node_modules/mime-types/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
npm-package-arg,13.0.2,npm-package-arg,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/plugin/shared.ts,3,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+npm-package-arg@6.1.4/node_modules/@types/npm-package-arg/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+npm-package-arg@6.1.4/node_modules/@types/npm-package-arg/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/npm-package-arg@13.0.2/node_modules/npm-package-arg/lib/npa.js,,True,"its declared types come from a third-party @types package, not the package itself"
semver,7.8.5,semver,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/plugin/shared.ts,4,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+semver@7.7.1/node_modules/@types/semver/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+semver@7.7.1/node_modules/@types/semver/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/semver@7.8.5/node_modules/semver/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
cross-spawn,7.0.6,cross-spawn,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/util/process.ts,3,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+cross-spawn@6.0.6/node_modules/@types/cross-spawn/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+cross-spawn@6.0.6/node_modules/@types/cross-spawn/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/cross-spawn@7.0.6/node_modules/cross-spawn/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
turndown,7.2.0,turndown,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/tool/webfetch.ts,5,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+turndown@5.0.5/node_modules/@types/turndown/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+turndown@5.0.5/node_modules/@types/turndown/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/turndown@7.2.0/node_modules/turndown/lib/turndown.cjs.js,,True,"its declared types come from a third-party @types package, not the package itself"
semver,7.8.5,semver,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/installation/index.ts,13,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+semver@7.7.1/node_modules/@types/semver/index.d.ts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+semver@7.7.1/node_modules/@types/semver/index.d.ts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/semver@7.8.5/node_modules/semver/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
ws,8.21.0,ws,redcode/redcode,/home/cyber/Work/reddb.io/redcode/packages/redcode/src/plugin/openai/ws-pool.ts,1,import,False,external-types,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+ws@8.18.1/node_modules/@types/ws/index.d.mts,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@types+ws@8.18.1/node_modules/@types/ws/index.d.mts,JavaScript,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ws@8.21.0/node_modules/ws/index.js,,True,"its declared types come from a third-party @types package, not the package itself"
