name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
@actions/core,1.11.1,False,True,redcode/redcode,@actions/core,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,8,0,8,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+core@1.11.1/node_modules/@actions/core,31260da2deef1b7c355ca422fb7fa47d8ebdb6a54626dc39708f77a614bbf880
@actions/github,6.0.1,False,True,redcode/redcode,@actions/github | @actions/github/lib/context,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,5,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@actions+github@6.0.1/node_modules/@actions/github,0c766b1023a6418a66e232a10aa10dfbab1f29eeda6881def877965514e27589
@agentclientprotocol/sdk,0.21.0,False,True,redcode/redcode,@agentclientprotocol/sdk,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,10,0,10,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@agentclientprotocol+sdk@0.21.0+d6123d32214422cb/node_modules/@agentclientprotocol/sdk,27be9188a6d74f89f5715b8dfc48979b1c379a2968597cb12f92529781a13fe0
@ai-sdk/alibaba,1.0.17,False,True,redcode/lildax | redcode/redcode,@ai-sdk/alibaba,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,2,12,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+alibaba@1.0.17+d6123d32214422cb/node_modules/@ai-sdk/alibaba,84a228dbfc2a4feb1ce8052f09b7fe68a9524fef9a969115ef0ad76b5d25c76d
@ai-sdk/amazon-bedrock,4.0.166,False,True,redcode/lildax | redcode/redcode,@ai-sdk/amazon-bedrock/mantle | @ai-sdk/amazon-bedrock,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,8,32,6,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+amazon-bedrock@4.0.166+d6123d32214422cb/node_modules/@ai-sdk/amazon-bedrock,fd3615253f9f40b0f1777e968760f841bc801cf0d61aee2fb45114c209724508
@ai-sdk/anthropic,3.0.111,False,True,redcode/lildax | redcode/redcode,@ai-sdk/anthropic,type-surface-resolved-in-at-least-one-context,own-declarations,,7,7,5,37,4,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+anthropic@3.0.111+d6123d32214422cb/node_modules/@ai-sdk/anthropic,75821c16fdaa2b18c0331be7ffe2e514e6693f0e60c87dc35c9d48ef48420e44
@ai-sdk/azure,3.0.93,False,True,redcode/lildax | redcode/redcode,@ai-sdk/azure,type-surface-resolved-in-at-least-one-context,own-declarations,,4,4,2,5,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+azure@3.0.93+d6123d32214422cb/node_modules/@ai-sdk/azure,60574f475f7b3f9f6ecbd947f5dcfecb259b6182df6cf7fe236a530bea133d44
@ai-sdk/cerebras,2.0.41,False,True,redcode/lildax | redcode/redcode,@ai-sdk/cerebras,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,2,4,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+cerebras@2.0.41+d6123d32214422cb/node_modules/@ai-sdk/cerebras,a3f8626746a34b1c1c879f16f56ad871bc540f59d37cd50a5f2088c74e5b3d17
@ai-sdk/cerebras,2.0.60,False,True,redcode/redcode,@ai-sdk/cerebras,type-surface-resolved-in-at-least-one-context,own-declarations,,3,3,2,6,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+cerebras@2.0.60+d6123d32214422cb/node_modules/@ai-sdk/cerebras,44ca719af8311d1c5c5810632469efc373dd0c46f50ba219089edc506982fdf1
@ai-sdk/cohere,3.0.27,False,True,redcode/lildax | redcode/redcode,@ai-sdk/cohere,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,2,16,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@ai-sdk+cohere@3.0.27+d6123d32214422cb/node_modules/@ai-sdk/cohere,ecafd621db7272de1efe2612f6409fa49f037853cbf4d6ed74574a9463180d03
