name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
y18n,5.0.8,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/y18n@5.0.8/node_modules/y18n,f65855d14daaf57947e398e132caa246f93bbf045ff3f8f9627114714729ad29
cliui,9.0.1,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/cliui@9.0.1/node_modules/cliui,305c7580ded81b1a9bfc3417e8c257692b4c2e54a66e67deb1b8f61f197aee9e
once,1.4.0,False,False,,,js-or-native-no-declaration-found,,,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/once@1.4.0/node_modules/once,33840d74c14c94bfb75c76374765b635531b1eacb88d7f1f2f380c94d0ea1328
wrappy,1.0.2,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/wrappy@1.0.2/node_modules/wrappy,712ac9c4c3cef8bc79f42cf6075ff18551f4cb768f35158214fd643853ad7abc
events,3.3.0,False,False,,,js-or-native-no-declaration-found,,,0,0,0,0,24,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/events@3.3.0/node_modules/events,878ad3687fef7efe3757c1872a3af998c95197129a7445d632486a9591ee542e
process,0.11.10,False,False,,,js-or-native-no-declaration-found,,,0,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/process@0.11.10/node_modules/process,8501b4909630e60c9e9f68c4ca8ccb1964688500e61c60408a26d5480a9dd3d4
punycode,2.3.1,False,False,,,js-or-native-no-declaration-found,,,0,0,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/punycode@2.3.1/node_modules/punycode,e025033bd11110af671fb8eb62f0db8895073ccdca70b596aa94a27eb5bf9acb
string_decoder,1.3.0,False,False,,,js-or-native-no-declaration-found,,,0,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/string_decoder@1.3.0/node_modules/string_decoder,31984c85cd4f3df0aa75075acdec98c25961496897d1f46d04ed4a701f129c54
@npmcli/map-workspaces,5.0.3,False,True,redcode/redcode,@npmcli/map-workspaces,js-or-native-no-declaration-found,no-declaration-resolved,it ships no own .d.ts declaration surface,2,0,0,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/@npmcli+map-workspaces@5.0.3/node_modules/@npmcli/map-workspaces,4e5e0897f2ba236dbb738a523c4d95139cd9cc12acfeeb3aaa546464397bb994
spdx-expression-parse,4.0.0,False,False,,,js-or-native-no-declaration-found,,,1,0,0,0,3,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/spdx-expression-parse@4.0.0/node_modules/spdx-expression-parse,3e8b59ed9c34d30597c8e5e3da963fe23ae97f5f20611ae523f842a7b243c044
